ID,title,needFinishEpisodeID,prepareClueList,correctClueList,completeClue
MS01_020_telegraph,我们大学里电报机的由来,"SQ01_020_010,SQ01_020_020,SQ01_020_030","CUE_0005_message_library,CUE_0010_message_miss,CUE_0020_review_telegraph,CUE_0030_review_telegraphoffice,CUE_0040_review_college","CUE_0020_review_telegraph,CUE_0030_review_telegraphoffice,CUE_0040_review_college",CUE_0050_reason_telegraph
PLAY_030_020,这个纪云书是从哪里进去密室的呢,"SQ01_030_010,SQ01_030_015,SQ01_030_020,SQ01_030_030,SQ01_030_040,SQ01_030_050","CUE_0070_telegram_boy,CUE_0090_cabinet,CUE_0120_review,CUE_0121_review,CUE_0122_review","CUE_0070_telegram_boy,CUE_0090_cabinet,CUE_0120_review",CUE_0140_puzzle
PLAY_030_030_opendoor,打开机关锁的方式,SQ01_030_055,"CUE_0070_telegram_boy,CUE_0095_key,CUE_0100_holder,CUE_0110_jewelry,CUE_0140_puzzle","CUE_0100_holder,CUE_0110_jewelry,CUE_0140_puzzle",CUE_0150_reason_miss
PLAY_030_036_foundkey,房间中有机关锁的信息吗,"SQ01_030_080,SQ01_030_090,SQ01_030_100,SQ01_030_110","CUE_0155_telegraph_girl,CUE_0160,CUE_0170","CUE_0150_reason_miss,CUE_0170",CUE_0175_review
PLAY_030_050_losekey,铁门打不开的原因,SQ01_030_130,"CUE_0080__message,CUE_0082__message,CUE_0085_reason,CUE_0190_review,CUE_0200","CUE_0121_review,CUE_0200,CUE_0205",CUE_0210
PLAY_030_060,李言蹊需要的是什么,MS01_030_073,"CUE_0155_telegraph_girl,CUE_0160,CUE_0170,CUE_0175_review,CUE_0210","CUE_0160,CUE_0210",CUE_0220
PLAY_040_020_code,藏诗锁可能的密码,SQ01_040_080_notebook,"CUE_0122_review,CUE_0130_poetry,CUE_0260_oldnotebook","CUE_0122_review,CUE_0130_poetry,CUE_0260_oldnotebook",CUE_0280_reason_poem
PLAY_040_031_bone,藏诗锁无法转动的原因,SQ01_040_010_bone,"CUE_0230_bone,CUE_0231_picture,CUE_0232_note","CUE_0230_bone,CUE_0231_picture,CUE_0232_note",CUE_0281_reason_bone
PLAY_040_032_telegraph,白骨的身份,"SQ01_040_030_telegraph,SQ01_040_091","CUE_0070_telegram_boy,CUE_0233_oldtelegraph,CUE_0281_reason_bone","CUE_0070_telegram_boy,CUE_0233_oldtelegraph,CUE_0281_reason_bone",CUE_0282_reason_cross
PLAY_040_033_miss,电报机的信号传往何方,SQ01_040_072_infer,"CUE_0010_message_miss,CUE_0080__message,CUE_0282_reason_cross","CUE_0010_message_miss,CUE_0080__message,CUE_0282_reason_cross",CUE_0283_reason_story
PLAY_040_040_losekey,校园传说的背后,SQ01_040_090_key,"CUE_0180,CUE_0240_misslock,CUE_0270_oldkey","CUE_0180,CUE_0240_misslock,CUE_0270_oldkey",CUE_0300_reason_losekey
PLAY_050_020_truth,失踪案的真相,SQ01_050_010,"CUE_0170,CUE_0310_notebook","CUE_0170,CUE_0310_notebook",CUE_0320_truth
PLAY_050_030_code,藏诗锁的密码,MS01_050_020,"CUE_0230_bone,CUE_0280_reason_poem,CUE_0310_notebook","CUE_0230_bone,CUE_0280_reason_poem,CUE_0310_notebook",CUE_0330_realkey
PLAY_060_010_jiyunshu,纪云书的结局,MS01_060_015,"CUE_0360_lockbox,CUE_0370,CUE_0380","CUE_0360_lockbox,CUE_0370,CUE_0380",CUE_0390
